OBST ID;TYPE;COORD;LAT;LONG;HGT AGL (FT);ELEV MSL (FT);LGT COLOR;LGT TYPE;LGT INTST;LGT HR;MARKINGS;Area of coverage;Identification of the data originator;Data source identifier;Horizontal accuracy (m);Horizontal confidence level (%);Horizontal resolution (m);Horizontal extent;Horizontal reference system;Vertical accuracy (m);Vertical confidence level (%);Vertical resolution (m);Vertical reference system;Geometry type;Unit of measurement;Integrity;Date and time stamp
EFINOB 10031;Mast;615550.99N 254354.33E;61.9308305888;25.7317584521;355;983;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;1.10.1987 0.00.00 +00:00
EFINOB 10121;Chimney;613754.194N 212416.073E;61.631720516;21.4044648442;494;507;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1975 0.00.00 +00:00
EFINOB 10249;Crane;602737.174N 220747.914E;60.4603259765;22.1299760107;345;345;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.12.1976 0.00.00 +00:00
EFINOB 10829;Tower;601216.909N 245523.21E;60.204696902;24.9231139927;443;541;R;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;4.11.1987 0.00.00 +00:00
EFINOB 13519;Building;613754.071N 212424.883E;61.6316862644;21.4069119884;332;344;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;1.3.1996 0.00.00 +00:00
EFINOB 13846;Pylon;611243.872N 260022.431E;61.2121866723173;26.0062307800981;345;600;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;6.6.1990 0.00.00 +00:00
EFINOB 22007;Wind turbine;613748.651N 212228.41E;61.6301807187;21.3745584519;394;405;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;11.6.2002 0.00.00 +00:00
EFINOB 41400;Pole;603349.4N 271156.4E;60.5637222468079;27.1989999699911;329;339;W;FLG;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;1.11.2018 0.00.00 +00:00
EFINOB 41944;Built structure;601115N 245847E;60.1875;24.9797222222222;444;457;R;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;14.11.2018 0.00.00 +00:00
EFINOB 48507;Wind turbine;621204.604N 213542.907E;62.201279;21.595252;755;863;Unknown;NIL;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;30.11.2022 0.00.00 +00:00
EFINOB 12206;Chimney;621905.737N 275352.497E;62.3182602285;27.8979158384;329;593;Unknown;NIL;NIL;NIL;N;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;5.4.1991 0.00.00 +00:00
EFINOB 64068;Crane;601444N 250241E;60.245555555555555;25.044722222222223;329;397;Y;FLG;LIL;HN;Y;NIL;NIL;Traficom;5;90;5;NIL;NIL;3;90;0.1;NIL;POINT;ft/m;Essential;14.10.2025 21.00.00 +00:00
